"Story","Title","Result","Date","Stability","Duration (s)"
"User curd test","Get all user data","SUCCESS","2023-08-07T18:46:18.810+01:00[Europe/London]","0.0","3.31"
"User curd test","Create user","SUCCESS","2023-08-07T18:46:22.147+01:00[Europe/London]","0.0","1.12"
