"Story","Title","Result","Date","Stability","Duration (s)"
"User curd test","Update user","ERROR","2023-08-07T17:13:59.720+01:00[Europe/London]","0.0","2.69"
"User curd test","Get all user data","SUCCESS","2023-08-07T18:46:18.810+01:00[Europe/London]","0.0","3.31"
"User curd test","Create user","SUCCESS","2023-08-07T18:46:22.147+01:00[Europe/London]","0.0","1.12"
"User curd test","Delete user","FAILURE","2023-08-07T18:46:23.263+01:00[Europe/London]","0.0","0.73"
"User curd test","Verify user updated successfully","FAILURE","2023-08-07T18:46:24+01:00[Europe/London]","0.0","0.4"
